1859.415,-0.150,-0.239,-0.088,-0.332,0.031,-0.402,0.102,-0.350,0.042,-0.472,0.166
1859.498,-0.166,-0.257,-0.080,-0.356,0.025,-0.458,0.127,-0.380,0.047,-0.528,0.196
1859.581,-0.181,-0.268,-0.106,-0.381,0.020,-0.459,0.098,-0.397,0.035,-0.533,0.172
1859.664,0.093,-0.018,0.164,-0.100,0.287,-0.165,0.352,-0.126,0.298,-0.248,0.421
1859.747,-0.511,-0.595,-0.429,-0.716,-0.307,-0.834,-0.189,-0.734,-0.290,-0.903,-0.120
1859.83,-0.213,-0.296,-0.136,-0.413,-0.014,-0.549,0.123,-0.434,0.000,-0.616,0.184
1859.913,-0.352,-0.460,-0.282,-0.562,-0.141,-0.850,0.146,-0.589,-0.129,-0.906,0.191
1859.996,-0.720,-0.831,-0.655,-0.911,-0.528,-1.355,-0.084,-0.943,-0.519,-1.400,-0.060
1860.083,-0.216,-0.298,-0.129,-0.420,-0.012,-0.895,0.463,-0.437,0.004,-0.930,0.497
1860.166,-0.698,-0.772,-0.626,-0.892,-0.503,-1.354,-0.042,-0.910,-0.488,-1.388,-0.009
1860.249,-0.899,-1.001,-0.831,-1.097,-0.701,-1.480,-0.318,-1.121,-0.686,-1.523,-0.282
1860.332,-0.278,-0.356,-0.199,-0.479,-0.077,-0.623,0.067,-0.497,-0.064,-0.688,0.127
1860.415,-0.137,-0.249,-0.074,-0.342,0.068,-0.472,0.198,-0.369,0.079,-0.547,0.259
1860.498,-0.220,-0.316,-0.134,-0.435,-0.005,-0.491,0.052,-0.455,0.011,-0.579,0.137
1860.581,0.085,-0.018,0.160,-0.107,0.276,-0.195,0.364,-0.125,0.291,-0.265,0.432
1860.664,-0.046,-0.126,0.013,-0.226,0.133,-0.297,0.204,-0.245,0.141,-0.367,0.265
1860.747,-0.189,-0.276,-0.108,-0.388,0.011,-0.491,0.114,-0.408,0.026,-0.562,0.182
1860.83,-0.014,-0.113,0.057,-0.217,0.188,-0.374,0.345,-0.245,0.199,-0.444,0.401
1860.913,-0.710,-0.825,-0.633,-0.908,-0.512,-1.205,-0.216,-0.939,-0.500,-1.258,-0.176
1860.996,-1.024,-1.149,-0.948,-1.236,-0.812,-1.770,-0.278,-1.266,-0.798,-1.812,-0.248
1861.083,-1.506,-1.610,-1.408,-1.717,-1.295,-2.335,-0.677,-1.740,-1.269,-2.366,-0.642
1861.166,-0.488,-0.597,-0.379,-0.691,-0.285,-1.417,0.441,-0.721,-0.262,-1.449,0.465
1861.249,-0.186,-0.317,-0.085,-0.402,0.030,-0.953,0.582,-0.434,0.060,-0.992,0.620
1861.332,-0.424,-0.547,-0.327,-0.619,-0.228,-0.852,0.005,-0.649,-0.206,-0.909,0.056
1861.415,-0.655,-0.778,-0.550,-0.858,-0.453,-1.014,-0.297,-0.884,-0.426,-1.080,-0.228
1861.498,0.042,-0.093,0.158,-0.155,0.239,-0.325,0.409,-0.186,0.277,-0.388,0.480
1861.581,0.314,0.177,0.446,0.124,0.505,-0.130,0.758,0.092,0.547,-0.179,0.818
1861.664,0.163,0.061,0.242,-0.033,0.358,-0.164,0.489,-0.058,0.372,-0.233,0.550
1861.747,-0.255,-0.370,-0.149,-0.447,-0.062,-0.641,0.132,-0.476,-0.037,-0.700,0.189
1861.83,-0.152,-0.261,-0.068,-0.361,0.057,-0.623,0.319,-0.395,0.074,-0.684,0.368
1861.913,-0.270,-0.382,-0.178,-0.478,-0.061,-0.863,0.324,-0.512,-0.041,-0.913,0.364
1861.996,-0.150,-0.295,-0.036,-0.373,0.073,-1.037,0.737,-0.405,0.106,-1.071,0.775
1862.083,-0.988,-1.099,-0.872,-1.212,-0.764,-2.015,0.038,-1.245,-0.735,-2.048,0.068
1862.166,-1.170,-1.292,-1.057,-1.392,-0.947,-2.307,-0.032,-1.425,-0.915,-2.336,-0.005
